"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Low-Complexity Low-Latency Architecture for Matching of Data Encoded With Hard Systematic Error-Correcting Codes","B. Y. Kong; J. Jo; H. Jeong; M. Hwang; S. Cha; B. Kim; I. Park","Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea","IEEE Transactions on Very Large Scale Integration (VLSI) Systems","","2014","22","7","1648","1652","A new architecture for matching the data protected with an error-correcting code (ECC) is presented in this brief to reduce latency and complexity. Based on the fact that the codeword of an ECC is usually represented in a systematic form consisting of the raw data and the parity information generated by encoding, the proposed architecture parallelizes the comparison of the data and that of the parity information. To further reduce the latency and complexity, in addition, a new butterfly-formed weight accumulator (BWA) is proposed for the efficient computation of the Hamming distance. Grounded on the BWA, the proposed architecture examines whether the incoming data matches the stored data if a certain number of erroneous bits are corrected. For a (40, 33) code, the proposed architecture reduces the latency and the hardware complexity by ~32% and 9%, respectively, compared with the most recent implementation.","1063-8210;1557-9999","","10.1109/TVLSI.2013.2276076","IT Research and Development program of MOTIE/KEIT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6583335","Data comparison;error-correcting codes (ECCs);Hamming distance;systematic codes;tag matching.;Data comparison;error-correcting codes (ECCs);Hamming distance;systematic codes;tag matching","Computer architecture;Complexity theory;Systematics;Encoding;Hamming distance;Decoding;Error correction codes","error correction codes;Hamming codes","hardware complexity;erroneous bits number;stored data;hamming distance efficient computation;BWA;butterfly-formed weight accumulator;encoding;parity information;raw data;complexity reduction;latency reduction;ECC codeword;data protected;hard systematic error-correcting codes;data encoded matching;low-complexity low-latency architecture","","5","","8","","","","","IEEE","IEEE Journals & Magazines"
"Analyzing the Resilience-Complexity Tradeoff of Network Coding in Dynamic P2P Networks","D. Niu; B. Li","University of Toronto, Toronto; University of Toronto, Toronto","IEEE Transactions on Parallel and Distributed Systems","","2011","22","11","1842","1850","Most current-generation P2P content distribution protocols use fine-granularity blocks to distribute content to all the peers in a decentralized fashion. Such protocols often suffer from a significant degree of imbalance in block distributions, especially when the users are highly dynamic. As certain blocks become rare or even unavailable, content availability and download efficiency are adversely affected. Randomized network coding may improve block diversity and availability in P2P networks, as coded blocks are equally innovative and useful to peers. However, the computational complexity of network coding mandates that, in reality, network coding needs to be performed within segments, each containing a subset of blocks. In this paper, we quantitatively evaluate how network coding may improve content availability, block diversity, and download performance in the presence of churn, as the number of blocks in each segment for coding varies. Based on stochastic models and a differential equation approach, we explore the fundamental tradeoff between the resilience gain of network coding to peer dynamics and its inherent coding complexity. We conclude that a small number of blocks in each segment is sufficient to realize the major benefits of network coding, with acceptable coding cost.","1045-9219;1558-2183;2161-9883","","10.1109/TPDS.2011.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5703093","Peer-to-peer content distribution;generation-based network coding;peer dynamics;content availability;resilience.","Network coding;Availability;Encoding;Steady-state;Protocols;Peer to peer computing;Resilience","computational complexity;differential equations;network coding;peer-to-peer computing;protocols;stochastic processes","resilience complexity tradeoff analysis;network coding;dynamic P2P networks;P2P content distribution protocols;fine granularity blocks;block distributions;block coding;computational complexity;block diversity;stochastic models;differential equation","","5","","15","","","","","IEEE","IEEE Journals & Magazines"
"Low complexity video coding and the emerging HEVC standard","K. Ugur; K. Andersson; A. Fuldseth; G. Bjøntegaard; L. P. Endresen; J. Lainema; A. Hallapuro; J. Ridge; D. Rusanovskyy; C. Zhang; A. Norkin; C. Priddle; T. Rusert; J. Samuelsson; R. Sjöberg; Z. Wu","Nokia Research Center; Ericsson Research; Tandberg Telecom (Cisco); Tandberg Telecom (Cisco); Tandberg Telecom (Cisco); Nokia Research Center; Nokia Research Center; Nokia Research Center; Nokia Research Center; Nokia Research Center; Ericsson Research; Ericsson Research; Ericsson Research; Ericsson Research; Ericsson Research; Ericsson Research","28th Picture Coding Symposium","","2010","","","474","477","This paper describes a low complexity video codec with high coding efficiency. It was proposed to the High Efficiency Video Coding (HEVC) standardization effort of MPEG and VCEG, and has been partially adopted into the initial HEVC Test Model under Consideration design. The proposal utilizes a quad-tree structure with a support of large macroblocks of size 64×64 and 32×32, in addition to macroblocks of size 16×16. The entropy coding is done using a low complexity variable length coding based scheme with improved context adaptation over the H.264/AVC design. In addition, the proposal includes improved interpolation and deblocking filters, giving better coding efficiency while having low complexity. Finally, an improved intra coding method is presented. The subjective quality of the proposal is evaluated extensively and the results show that the proposed method achieves similar visual quality as H.264/AVC High Profile anchors with around 50% and 35% bit rate reduction for low delay and random-access experiments respectively at high definition sequences. This is achieved with less complexity than H.264/AVC Baseline Profile, making the proposal especially suitable for resource constrained environments.","","978-1-4244-7135-5978-1-4244-7134-8978-1-4244-7133","10.1109/PCS.2010.5702540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5702540","HEVC;standardization;video coding;H.264/AVC","Proposals;Complexity theory;Automatic voltage control;Encoding;Bit rate;Video coding;Interpolation","block codes;entropy codes;variable length codes;video codecs;video coding","low complexity video coding;HEVC standard;low complexity video codec;high efficiency video coding;standardization;MPEG;VCEG;entropy coding;complexity variable length coding;interpolation;deblocking filters","","6","","8","","","","","IEEE","IEEE Conferences"
"Low-Complexity Intra Coding for Scalable Extension of HEVC Based on Content Statistics","S. Lasserre; F. Le Léannec; J. Taquet; E. Nassor","Technicolor, Cesson-Sévigné, France; Technicolor, Cesson-Sévigné, France; Canon Research Centre France, Cesson-Sévigné, France; Canon Research Centre France, Cesson-Sévigné, France","IEEE Transactions on Circuits and Systems for Video Technology","","2014","24","8","1375","1389","This paper presents a new approach for a scalable extension of High Efficiency Video Coding (HEVC) intra pictures. The proposed scalable intra codec targets very low complexity together with coding efficiency, and thus employs only one prediction mode, known as inter layer intra prediction. The main novelty of the codec is a new fast rate-distortion optimization approach, which is founded on the rate-distortion theory. It exploits precomputed offline information for the reduction of the computational complexity, and a new allocation process for the balancing of the coded information. The precomputed information is a set of optimal quantifiers and associated rate-distortion curves for predetermined statistical models that are used for efficiently coding the Discrete Cosine Transform channels. This low-complexity intra coding tool has been proposed to the scalable HEVC call for proposals. In the scalable standard testing conditions, the proposed intra codec shows compression performance with a bit-rate increase of around 10% only compared with the HEVC single-layer encoder.","1051-8215;1558-2205","","10.1109/TCSVT.2014.2305513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6737259","Generalized Gaussian distribution (GGD);High Efficiency Video Coding (HEVC);rate distortion optimal quantization (RDOQ);statistical modeling","Encoding;Discrete cosine transforms;Rate-distortion;Codecs;Optimization;Complexity theory;Decoding","codecs;discrete cosine transforms;rate distortion theory;video coding","low-complexity intra coding;scalable extension;high efficiency video coding intra pictures;content statistics;scalable intra codec targets;coding efficiency;interlayer intraprediction;fast rate-distortion optimization approach;ratedistortion theory;coded information;precomputed information;rate-distortion curves;discrete cosine transform channels;intracoding tool;scalable standard testing conditions;HEVC single-layer encoder","","4","","30","","","","","IEEE","IEEE Journals & Magazines"
"Reduced complexity decoding for Bit-Interleaved Coded Multiple Beamforming with Constellation Precoding","B. Li; H. J. Park; E. Ayanoglu","Center for Pervasive Communications and Computing, Department of Electrical Engineering and Computer Science, The Henry Samueli School of Engineering, University of California, Irvine, 92697-2625, USA; Samsung Electronics, Suwon, Korea; Center for Pervasive Communications and Computing, Department of Electrical Engineering and Computer Science, The Henry Samueli School of Engineering, University of California, Irvine, 92697-2625, USA","2011 7th International Wireless Communications and Mobile Computing Conference","","2011","","","152","156","Multiple beamforming is realized by singular value decomposition of the channel matrix which is assumed to be known to both the transmitter and the receiver. Bit-Interleaved Coded Multiple Beamforming (BICMB) can achieve full diversity as long as the code rate Rcand the number of employed subchannels S satisfy the condition RcS ≤ 1. Bit-Interleaved Coded Multiple Beamforming with Constellation Precoding (BICMB-CP), on the other hand, can achieve full diversity without the condition RcS ≤ 1. However, the decoding complexity of BICMB-CP is much higher than BICMB. In this paper, a reduced complexity decoding technique, which is based on Sphere Decoding (SD), is proposed to reduce the complexity of Maximum Likelihood (ML) decoding for BICMB-CP. The decreased complexity decoding achieves several orders of magnitude reduction, in terms of the average number of real multiplications needed to acquire one precoded bit metric, not only with respect to conventional ML decoding, but also, with respect to conventional SD.","2376-6492;2376-6506","978-1-4244-9538-2978-1-4244-9539-9978-1-4244-9537","10.1109/IWCMC.2011.5982407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982407","MIMO;Beamforming;Constellation Precoding;Bit-Interleaved Coded Modulation;SD;Decoding Complexity","Complexity theory;Measurement;Array signal processing;Signal to noise ratio;Interleaved codes;Maximum likelihood decoding","array signal processing;interleaved codes;maximum likelihood decoding;MIMO communication;precoding;radio receivers;radio transmitters;singular value decomposition","singular value decomposition;channel matrix;transmitter;receiver;bit-interleaved coded multiple beamforming;code rate;constellation precoding;BICMB-CP;decoding complexity;sphere decoding;maximum likelihood decoding;magnitude reduction;MIMO","","1","","18","","","","","IEEE","IEEE Conferences"
"Low ML Decoding Complexity STBCs via Codes Over the Klein Group","L. P. Natarajan; B. S. Rajan","Signal Processing Building, Department of Electrical Communication Engineering, Indian Institute of Science, Bangalore, India; Signal Processing Building, Department of Electrical Communication Engineering, Indian Institute of Science, Bangalore, India","IEEE Transactions on Information Theory","","2011","57","12","7950","7971","In this paper, we give a new framework for constructing low ML decoding complexity space-time block codes (STBCs) using codes over the Klein groupK. Almost all known low ML decoding complexity STBCs can be obtained via this approach. New full-diversity STBCs with low ML decoding complexity and cubic shaping property are constructed, via codes overK, for number of transmit antennasN=2m,m≥ 1, and ratesR>; 1 complex symbols per channel use. WhenR=N, the new STBCs are information-lossless as well. The new class of STBCs have the least known ML decoding complexity among all the codes available in the literature for a large set of (N,R) pairs.","0018-9448;1557-9654","","10.1109/TIT.2011.2170113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6094265","Clifford algebra;cubic shaping;full diversity;information-losslessness;Klein group;low maximum-likelihood (ML) decoding complexity;Pauli matrices;space-time codes","Complexity theory;Encoding;Maximum likelihood decoding;Quadrature amplitude modulation","communication complexity;diversity reception;space-time block codes;transmitting antennas","low ML decoding complexity;Klein group;space-time block codes;full-diversity STBC;cubic shaping property;transmit antennas;information-lossless","","3","","43","","","","","IEEE","IEEE Journals & Magazines"
"Low-complexity rate control based on ρ-domain model for Scalable Video Coding","M. Liu; Y. Guo; H. Li; C. W. Chen","University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China","2010 IEEE International Conference on Image Processing","","2010","","","1277","1280","In this paper, we present a novel low complexity yet very efficient rate control algorithm for Scalable Video Coding (SVC) based on the ρ-domain model. Compared with the conventional ρ-domain model in determining quantization parameter, the proposed algorithm adopts a new linear model to obtain the quantization parameter at frame-level. This linear model is able to characterize the relationship between the percentage of zero among quantized coefficients and the quantization step. Since this model considers the Mean Absolute Difference (MAD) of each frame, individual frame only needs to be encoded once to control the bit-rate. In particular, the model parameter in the ρ-domain model can be adaptively estimated by utilizing either temporal or inter-layer information. This leads to significant improvement in estimation accuracy. Experimental results show that the proposed algorithm can achieve accurate bit-rate and maintain the maximum mismatch between actual bit-rate and target bit-rate within 0.5%. More importantly, the proposed low complexity algorithm is able to obtain PSNR improvement up to 0.6dB comparing with the algorithm adopted in the Joint Scalable Video Model (JSVM).","2381-8549;1522-4880;1522-4880","978-1-4244-7994-8978-1-4244-7992-4978-1-4244-7993","10.1109/ICIP.2010.5653340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5653340","Rate control;low complexity;ρ-domain model;Scalable Video Coding","Adaptation model;Video coding;Encoding;Static VAr compensators;Estimation;Prediction algorithms;Joints","encoding;estimation theory;quantisation (signal);video coding","scalable video coding;low complexity rate control;ρ-domain model;quantization parameter;encoding;temporal information;inter-layer information;estimation accuracy;joint scalable video model","","6","","14","","","","","IEEE","IEEE Conferences"
"Low-complexity finite alphabet iterative decoders for LDPC codes","F. Cai; X. Zhang; D. Declercq; B. Vasic; D. V. Nguyen; S. Planjery","Case Western Reserve University; Case Western Reserve University; ETIS Laboratory; University of Arizona; University of Arizona; University of Arizona","2013 IEEE International Symposium on Circuits and Systems (ISCAS2013)","","2013","","","1332","1335","Low-density parity-check (LDPC) codes are adopted in many applications due to their Shannon-limit approaching error-correcting performance. Nevertheless, belief-propagation (BP) based decoding of these codes suffers from the error-floor problem. Recently, a new type of decoders termed finite alphabet iterative decoders (FAIDs) were introduced. The FAIDs use simple Boolean maps for variable node processing. With very short word length, they can surpass the BP-based decoders in the error floor region. This paper develops a low-complexity implementation architecture for FAIDs by making use of their properties. Particularly, an innovative bit-serial check node unit is designed for FAIDs, and the symmetric Boolean maps for variable node processing lead to small silicon area. An optimized data scheduling scheme is also proposed to increase the hardware utilization efficiency. From synthesis results, the proposed FAID implementation needs only 52% area to reach the same throughput as one of the most efficient Min-sum decoders for an example (7807, 7177) LDPC code, while achieving better error-correcting performance in the error-floor region.","0271-4302;2158-1525","978-1-4673-5762-3978-1-4673-5760-9978-1-4673-5761","10.1109/ISCAS.2013.6572100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6572100","","Decoding;Iterative decoding;Clocks;Hardware;Computer architecture;Throughput","error correction;iterative decoding;parity check codes","low-complexity finite alphabet iterative decoders;LDPC codes;low-density parity-check codes;Shannon limit;error-correcting performance;belief propagation;BP-based decoding;error-floor problem;Boolean map;variable node processing;low-complexity implementation architecture;min-sum decoder;FAID implementation;hardware utilization efficiency;optimized data scheduling scheme;silicon area;innovative bit-serial check node unit","","1","","10","","","","","IEEE","IEEE Conferences"
"Low-complexity decoding for non-binary LDPC codes in high order fields","A. Voicila; D. Declercq; F. Verdier; M. Fossorier; P. Urard","ETIS, ENSEA/univ. Cergy-Pontoise/CNRS; ETIS, ENSEA/univ. Cergy-Pontoise/CNRS; ETIS, ENSEA/univ. Cergy-Pontoise/CNRS; ETIS, ENSEA/univ. Cergy-Pontoise/CNRS; STMicroelectronics","IEEE Transactions on Communications","","2010","58","5","1365","1375","In this paper, we propose a new implementation of the Extended Min-Sum (EMS) decoder for non-binary LDPC codes. A particularity of the new algorithm is that it takes into accounts the memory problem of the non-binary LDPC decoders, together with a significant complexity reduction per decoding iteration. The key feature of our decoder is to truncate the vector messages of the decoder to a limited number n<sub>m</sub> of values in order to reduce the memory requirements. Using the truncated messages, we propose an efficient implementation of the EMS decoder which reduces the order of complexity to ¿(n<sub>m</sub> log<sub>2</sub> n<sub>m</sub>). This complexity starts to be reasonable enough to compete with binary decoders. The performance of the low complexity algorithm with proper compensation is quite good with respect to the important complexity reduction, which is shown both with a simulated density evolution approach and actual simulations.","0090-6778;1558-0857","","10.1109/TCOMM.2010.05.070096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5464236","Iterative decoding, non-binary LDPC codes, low complexity algorithm","Parity check codes;Iterative decoding;Medical services;Channel capacity;Code standards;Digital video broadcasting;WiMAX;Modulation coding;Galois fields;Performance gain","iterative decoding;parity check codes","low-complexity decoding;nonbinary LDPC codes;extended min-sum decoder;complexity reduction;decoding iteration;truncated messages;binary decoders;simulated density evolution approach","","129","","18","","","","","IEEE","IEEE Journals & Magazines"
"VLSI Architecture for Low-Complexity Motion Estimation in H.264 Multiview Video Coding","A. Ahmed; M. U. Shahid; M. Martina; E. Magli; G. Masera","NA; NA; NA; NA; NA","2013 Euromicro Conference on Digital System Design","","2013","","","288","292","This paper presents a VLSI architecture for a low complexity motion estimation algorithm, referred to as Slim264, for multiview video coding extension of H.264. Algorithmic modifications are introduced to obtain a fully parallel computational structure able to meet the throughput requirements of high resolution and high frame rate videos. High parallelism is achieved by predicting small blocks, i.e. 4x4 pixel blocks, in parallel and then adding them up in order to get Sum of Absolute Differences (SADs) of large block sizes. The predictor is able to support high resolution videos i.e. 1080p. The modified algorithm shows promising PSNR results with respect to full search algorithm. The predictor is synthesized with a clock frequency of 200 MHz, occupying an area of 0.49 mm2, on 90-nm Standard Cell ASIC technology.","","978-1-4799-2978","10.1109/DSD.2013.145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6628290","H.264/MVC;video coding;motion estimation;VLSI architecture","Prediction algorithms;Computer architecture;Video coding;Clocks;Throughput;Hardware;PSNR","application specific integrated circuits;motion estimation;parallel architectures;search problems;video coding;VLSI","standard cell ASIC technology;search algorithm;video resolution;SAD;size 90 nm;frequency 200 MHz;VLSI architecture;motion estimation;Slim264;multiview video coding extension;H.264 algorithm;parallel computational structure;throughput requirement;pixel block prediction;sum of absolute difference","","1","","17","","","","","IEEE","IEEE Conferences"
"Complexity comparison of the use of Vandermonde versus Hankel matrices to build systematic MDS Reed-Solomon codes","F. Mattoussi; V. Roca; B. Sayadi","Inria, France; Inria, France; Alcatel-Lucent Bell Labs, France","2012 IEEE 13th International Workshop on Signal Processing Advances in Wireless Communications (SPAWC)","","2012","","","344","348","Reed Solomon RS(n, k) codes are Maximum Distance Separable (MDS) ideal codes that can be put into a systematic form, which makes them well suited to many situations. In this work we consider use-cases that rely on a software RS codec and for which the code is not fixed. This means that the application potentially uses a different RS(n, k) code each time, and this code needs to be built dynamically. A lightweight code creation scheme is therefore highly desirable, otherwise this stage would negatively impact the encoding and decoding times. Constructing such an RS code is equivalent to constructing its systematic generator matrix. Using the classic Vandermonde matrix approach to that purpose is feasible but adds significant complexity. In this paper we propose an alternative solution, based on Hankel matrices as the base matrix. We prove theoretically and experimentally that the code construction time and the number of operations performed to build the target RS code are largely in favor of the Hankel approach, which can be between 3.5 to 157 times faster than the Vandermonde approach, depending on the (n, k) parameters.","1948-3252;1948-3244;1948-3244","978-1-4673-0971-4978-1-4673-0970-7978-1-4673-0969","10.1109/SPAWC.2012.6292924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6292924","AL-FEC;Reed-Solomon;Vandermonde matrix;Hankel matrix","Systematics;Generators;Reed-Solomon codes;Codecs;Complexity theory;Encoding;Decoding","decoding;encoding;Hankel matrices;Reed-Solomon codes","complexity comparison;Vandermonde matrices;Hankel matrices;systematic MDS Reed-Solomon codes;maximum distance separable ideal codes;software RS codec;lightweight code creation scheme;encoding time;decoding time;systematic generator matrix;base matrix;code construction time","","8","","10","","","","","IEEE","IEEE Conferences"
"New Constructions of High-Performance Low-Complexity Convolutional Codes","A. Katsiotis; P. Rizomiliotis; N. Kalouptsidis","National, Kapodistrian University of Athens, Department of Informatics, Telecommunications, Division of Communications, Signal Processing, Panepistimiopolis, 15784 Athens, Greece; University of the Aegean, Department of Information and Communication Systems Engineering, Karlovassi, Samos, GR-83200, Greece; National, Kapodistrian University of Athens, Department of Informatics, Telecommunications, Division of Communications, Signal Processing, Panepistimiopolis, 15784 Athens, Greece","IEEE Transactions on Communications","","2010","58","7","1950","1961","In this paper, new constructions of low trellis complexity convolutional codes are presented. New codes are found by searching into a specific class of time varying convolutional codes, which is shaped by some basic properties and search restrictions. An efficient technique for obtaining minimal trellis modules for the proposed codes is provided. Finally, new low complexity convolutional codes of various code rates and memory sizes are tabulated.","0090-6778;1558-0857","","10.1109/TCOMM.2010.07.090149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5504596","Convolutional codes;trellis complexity;minimal trellis;maximum likelihood decoding","Convolutional codes;Maximum likelihood decoding;Concatenated codes;Communications Society;Informatics;Signal processing;Communication systems;Systems engineering and theory","communication complexity;convolutional codes;maximum likelihood decoding;trellis codes","high-performance low-complexity convolutional codes;low trellis complexity convolutional codes;maximum likelihood decoding","","10","","25","","","","","IEEE","IEEE Journals & Magazines"
"Enabling complexity-performance trade-offs for successive cancellation decoding of polar codes","A. Balatsoukas-Stimming; G. Karakonstantis; A. Burg","Telecommunications Circuits Laboratory, EPFL, Lausanne, Switzerland; Telecommunications Circuits Laboratory, EPFL, Lausanne, Switzerland; Telecommunications Circuits Laboratory, EPFL, Lausanne, Switzerland","2014 IEEE International Symposium on Information Theory","","2014","","","2977","2981","Polar codes are one of the most recent advancements in coding theory and they have attracted significant interest. While they are provably capacity achieving over various channels, they have seen limited practical applications. Unfortunately, the successive nature of successive cancellation based decoders hinders fine-grained adaptation of the decoding complexity to design constraints and operating conditions. In this paper, we propose a systematic method for enabling complexity-performance tradeoffs by constructing polar codes based on an optimization problem which minimizes the complexity under a suitably defined mutual information based performance constraint. Moreover, a low-complexity greedy algorithm is proposed in order to solve the optimization problem efficiently for very large code lengths.","2157-8117;2157-8095","978-1-4799-5186","10.1109/ISIT.2014.6875380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6875380","","Complexity theory;Decoding;Greedy algorithms;Optimization;Mutual information;Measurement","channel coding;computational complexity;decoding;greedy algorithms;minimisation","complexity-performance trade-offs;successive cancellation decoding;polar codes;coding theory;decoding complexity;design constraints;optimization problem;complexity minimization;mutual information based performance constraint;low-complexity greedy algorithm;code lengths","","5","","9","","","","","IEEE","IEEE Conferences"
"Design and Analysis of a Low-Complexity Decoding Algorithm for Spinal Codes","Y. Hu; R. Liu; H. Bian; D. Lyu","School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China; Multimedia and Communication Laboratory, Beihang University, Beijing, China","IEEE Transactions on Vehicular Technology","","2019","68","5","4667","4679","In order to facilitate reliable and efficient data transmission in time-varying environments, a block dynamic decoding algorithm for spinal codes is proposed in this paper. First, the code tree is divided into several decoding units to scatter the decoding complexity. According to the results of the last decoding, the decoder will modify the scope of nodes accessed with dynamic parameters, which improves the execution efficiency of the algorithm. Furthermore, the complexity and related parameters of the algorithm are analyzed and verified by some simulations. The results show that the proposed algorithm has the ability to enhance the bandwidth efficiency (or rate) performance, and to reduce both complexity and frame error rate.","0018-9545;1939-9359","","10.1109/TVT.2019.2901495","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8653979","Time-varying channels;rateless coding;spinal codes;capacity-achieving;low decoding complexity","Complexity theory;Heuristic algorithms;Encoding;Maximum likelihood decoding;Signal to noise ratio;Vehicle dynamics","","","","","","22","","","","","IEEE","IEEE Journals & Magazines"
"A high coding gain and low decoding complexity STBC for four transmit antennas","N. Sharma; M. R. Bhatnagar; M. Agrawal","Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India; Department of Electrical Engineering, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India; Centre for Applied Research in Electronics, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India","2012 National Conference on Communications (NCC)","","2012","","","1","5","Space-time block codes (STBCs) have attracted considerable attention as they provide reliable communication in multi-antenna systems. STBCs work on the principle of multiple transmissions of a data stream from different transmit antennas in multiple time slots. This redundancy reduces the data rate of the STBCs. In this paper, we propose a mapping function for PAM and square QAM constellation. Based on this mapping function, we propose an STBC for four transmit antennas which achieves high coding gain. We derive an expression of coding gain of the proposed STBC. It is further shown that the proposed STBC achieves full diversity and has a low peak-to-average power ratio (PAPR). A low-complexity decoder for the proposed STBC is also derived. We show that the proposed STBC outperforms the existing STBCs for four transmit antennas in terms of coding gain, PAPR, and decoding complexity.","","978-1-4673-0816-8978-1-4673-0815-1978-1-4673-0814","10.1109/NCC.2012.6176786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6176786","Coding gain;full-diversity;full-rate;multiple input-multiple output (MIMO);space-time block code (STBC)","Decoding;Peak to average power ratio;Complexity theory;Transmitting antennas;Quadrature amplitude modulation;Block codes","decoding;pulse amplitude modulation;quadrature amplitude modulation;slot antenna arrays;space-time block codes;transmitting antennas","high coding gain;low decoding complexity STBC;four transmit antennas;space-time block codes;multiantenna systems;data stream transmission;multiple time slot antenna;mapping function;square QAM constellation;PAM constellation;low peak-to-average power ratio;low-complexity decoder;pulse amplitude modulation","","","","16","","","","","IEEE","IEEE Conferences"
"Low-complexity decoders for non-binary turbo codes","R. Klaimi; C. A. Nour; C. Douillard; J. Farah","IMT Atlantique, CNRS UMR 6285 Lab-STICC, Brest, France; IMT Atlantique, CNRS UMR 6285 Lab-STICC, Brest, France; IMT Atlantique, CNRS UMR 6285 Lab-STICC, Brest, France; Faculty of Engineering, Lebanese University, Roumieh, Lebanon","2018 IEEE 10th International Symposium on Turbo Codes & Iterative Information Processing (ISTC)","","2018","","","1","5","Following the increasing interest in non-binary coding schemes, turbo codes over different Galois fields have started to be considered recently. While showing improved performance when compared to their binary counterparts, the decoding complexity of this family of codes remains a main obstacle to their adoption in practical applications. In this work, a new low-complexity variant of the Min-Log-MAP algorithm is proposed. Thanks to the introduction of a bubble sorter for the different metrics used in the Min-Log-MAP decoder, the number of required computations is significantly reduced. A reduction by a factor of 6 in the number of additions and compare-select operations can be achieved with only a minor impact on error rate performance. With the use of an appropriate quantization, the resulting decoder paves the way for a future hardware implementation.","2165-4719;2165-4700","978-1-5386-7048-4978-1-5386-7047-7978-1-5386-7049","10.1109/ISTC.2018.8625359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8625359","Non-binary turbo codes;decoding algorithm;bubble check;complexity reduction","Measurement;Decoding;Complexity theory;Sorting;Convolutional codes;Systematics;Turbo codes","binary codes;decoding;error statistics;Galois fields;maximum likelihood decoding;turbo codes","low-complexity decoders;decoding complexity;compare-select operations;error rate performance;Galois fields;minlog-MAP decoder algorithm;nonbinary turbo coding schemes;bubble sorter","","","","12","","","","","IEEE","IEEE Conferences"
