"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I9MC29BE","journalArticle","2014","Reniers, Dennie; Voinea, Lucian; Ersoy, Ozan; Telea, Alexandru","The Solid* toolset for software visual analytics of program structure and metrics comprehension: From research prototype to product","Science of Computer Programming","","","","","","2014","2019-06-04 16:25:38","2019-06-04 16:25:38","","224–240","","","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MESQMNZU","journalArticle","2014","Loke, Lynette HL; Jachowski, Nicholas R; Bouma, Tjeerd J; Ladle, Richard J; Todd, Peter A","Complexity for Artificial Substrates (CASU): software for creating and visualising habitat complexity","PLoS One","","","","","","2014","2019-06-04 16:25:39","2019-06-04 16:25:39","","e87990","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JIEXHZI","conferencePaper","2010","Terceiro, Antonio; Rios, Luiz Romario; Chavez, Christina","An empirical study on the structural complexity introduced by core and peripheral developers in free software projects","2010 Brazilian Symposium on Software Engineering","","","","","","2010","2019-06-04 16:25:39","2019-06-04 16:25:39","","21–29","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEPFZKBJ","journalArticle","2013","Urquiza-Fuentes, Jaime; Velázquez-Iturbide, J Ángel","Toward the effective use of educational program animations: The roles of student's engagement and topic complexity","Computers & Education","","","","","","2013","2019-06-04 16:25:39","2019-06-04 16:25:39","","178–192","","","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXZC2S98","journalArticle","2012","Pawlowski, Roger P; Phipps, Eric T; Salinger, Andrew G; Owen, Steven J; Siefert, Christopher M; Staten, Matthew L","Automating embedded analysis capabilities and managing software complexity in multiphysics simulation, Part II: Application to partial differential equations","Scientific Programming","","","","","","2012","2019-06-04 16:25:39","2019-06-04 16:25:39","","327–345","","3","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D68V59EH","conferencePaper","2014","Turner, Rachel; Falcone, Michael; Sharif, Bonita; Lazar, Alina","An eye-tracking study assessing the comprehension of C++ and Python source code","Proceedings of the Symposium on Eye Tracking Research and Applications","","","","","","2014","2019-06-04 16:25:39","2019-06-04 16:25:39","","231–234","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HEUC6ZR","journalArticle","2012","Andersson, Petra Lilja; Edberg, Anna-Karin","Swedish nursing students' experience of aspects important for their learning process and their ability to handle the complexity of the nursing degree program","Nurse education today","","","","","","2012","2019-06-04 16:25:39","2019-06-04 16:25:39","","453–457","","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8J2AHRL6","book","2013","Erdogmus, Hakan; Tanir, Oryal","Advances in software engineering: comprehension, evaluation, and evolution","","","","","","","2013","2019-06-04 16:25:39","2019-06-04 16:25:39","","","","","","","","","","","","","Springer Science & Business Media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQEECBBB","conferencePaper","2013","Guerrouj, Latifa","Normalizing source code vocabulary to support program comprehension and software quality","Proceedings of the 2013 International Conference on Software Engineering","","","","","","2013","2019-06-04 16:25:39","2019-06-04 16:25:39","","1385–1388","","","","","","","","","","","IEEE Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9J5BZTQ9","journalArticle","2011","McGarry, Conor K; Chinneck, Candice D; O'Toole, Monica M; O'Sullivan, Joe M; Prise, Kevin M; Hounsell, Alan R","Assessing software upgrades, plan properties and patient geometry using intensity modulated radiation therapy (IMRT) complexity metrics","Medical physics","","","","","","2011","2019-06-04 16:25:39","2019-06-04 16:25:39","","2027–2034","","4","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MD2T29S8","journalArticle","2012","Polzer, Andreas; Merschen, Daniel; Botterweck, Goetz; Pleuss, Andreas; Thomas, Jacques; Hedenetz, Bernd; Kowalewski, Stefan","Managing complexity and variability of a model-based embedded software product line","Innovations in Systems and Software Engineering","","","","","","2012","2019-06-04 16:25:40","2019-06-04 16:25:40","","35–49","","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBDZF5P5","journalArticle","2013","Lee, Gwanhoo; Espinosa, J Alberto; DeLone, William H","Task environment complexity, global team dispersion, process capabilities, and coordination in software development","IEEE Transactions on Software Engineering","","","","","","2013","2019-06-04 16:25:40","2019-06-04 16:25:40","","1753–1771","","12","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDJ3RLYT","journalArticle","2013","Gander, Martin J; Japhet, Caroline","Algorithm 932: PANG: software for nonmatching grid projections in 2D and 3D with linear complexity","ACM Transactions on Mathematical Software (TOMS)","","","","","","2013","2019-06-04 16:25:40","2019-06-04 16:25:40","","6","","1","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8M7M6D2","journalArticle","2012","Sharma, Ashish; Kushwaha, Dharmender Singh","Applying requirement based complexity for the estimation of software development and testing effort","ACM SIGSOFT Software Engineering Notes","","","","","","2012","2019-06-04 16:25:40","2019-06-04 16:25:40","","1–11","","1","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6I7B3BH5","journalArticle","2016","Baillot, Patrick; Dal Lago, Ugo","Higher-order interpretations and program complexity","Information and Computation","","","","","","2016","2019-06-04 16:25:40","2019-06-04 16:25:40","","56–81","","","248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRMQELSU","journalArticle","2014","Goldberg, Joseph H","Measuring software screen complexity: relating eye tracking, emotional valence, and subjective ratings","International Journal of Human-Computer Interaction","","","","","","2014","2019-06-04 16:25:40","2019-06-04 16:25:40","","518–532","","7","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ9ND78S","journalArticle","2014","Pagan, Stephanie; Sénéchal, Monique","Involving parents in a summer book reading program to promote reading comprehension, fluency, and vocabulary in grade 3 and grade 5 children.","Canadian Journal of Education","","","","","","2014","2019-06-04 16:25:40","2019-06-04 16:25:40","","n2","","2","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RL4F94A2","conferencePaper","2014","Salviulo, Felice; Scanniello, Giuseppe","Dealing with identifiers and comments in source code comprehension and maintenance: Results from an ethnographically-informed study with students and professionals","Proceedings of the 18th international conference on evaluation and assessment in software engineering","","","","","","2014","2019-06-04 16:25:40","2019-06-04 16:25:40","","48","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BW6S6DCG","journalArticle","2010","Restrepo, M Adelaida; Castilla, Anny P; Schwanenflugel, Paula J; Neuharth-Pritchett, Stacey; Hamilton, Claire E; Arboleda, Alejandra","Effects of a supplemental Spanish oral language program on sentence length, complexity, and grammaticality in Spanish-speaking children attending English-only preschools","Language, Speech, and Hearing Services in Schools","","","","","","2010","2019-06-04 16:25:40","2019-06-04 16:25:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LC3P6YZJ","journalArticle","2015","Nita, Gelu M; Fleishman, Gregory D; Kuznetsov, Alexey A; Kontar, Eduard P; Gary, Dale E","Three-dimensional radio and X-ray modeling and data analysis software: Revealing flare complexity","The Astrophysical Journal","","","","","","2015","2019-06-04 16:25:40","2019-06-04 16:25:40","","236","","2","799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PY86CKSW","journalArticle","2011","Hausheer, Robin; Hansen, Alana; Doumas, Diana M","Improving Reading Fluency and Comprehension among Elementary Students: Evaluation of a School Remedial Reading Program.","Journal of School Counseling","","","","","","2011","2019-06-04 16:25:41","2019-06-04 16:25:41","","n9","","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HC5QCEW8","journalArticle","2010","Chen, Chao; Bai, Baoming; Wang, Xinmei; Xu, Ming","Nonbinary LDPC codes constructed based on a cyclic MDS code and a low-complexity nonbinary message-passing decoding algorithm","IEEE Communications Letters","","","","","","2010","2019-06-04 16:25:41","2019-06-04 16:25:41","","239–241","","3","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYXCIBP2","journalArticle","2010","Moorman, Amanda; Boon, Richard T; Keller-Bell, Yolanda; Stagliano, Christina; Jeffs, Tara","Effects of text-to-speech software on the reading rate and comprehension skills of high school students with specific learning disabilities","Learning Disabilities: A Multidisciplinary Journal","","","","","","2010","2019-06-04 16:25:41","2019-06-04 16:25:41","","41–49","","1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THE2KWMD","journalArticle","2014","Zenil, Hector; Soler-Toscano, Fernando; Dingle, Kamaludin; Louis, Ard A","Correlation of automorphism group size and topological properties with program-size complexity evaluations of graphs and complex networks","Physica A: Statistical Mechanics and its Applications","","","","","","2014","2019-06-04 16:25:41","2019-06-04 16:25:41","","341–358","","","404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HVFPWHE","book","2013","Wolf-Branigin, Michael","Using complexity theory for research and program evaluation","","","","","","","2013","2019-06-04 16:25:41","2019-06-04 16:25:41","","","","","","","","","","","","","Oxford University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2WA8NKK","conferencePaper","2016","Clarke, Paul; O'Connor, Rory V; Leavy, Brian","A complexity theory viewpoint on the software development process and situational context","Proceedings of the International Conference on Software and Systems Process","","","","","","2016","2019-06-04 16:25:41","2019-06-04 16:25:41","","86–90","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPKX9TAL","conferencePaper","2012","Ring, Matthias; Jensen, Ulf; Kugler, Patrick; Eskofier, Bjoern","Software-based performance and complexity analysis for the design of embedded classification systems","Proceedings of the 21st International Conference on Pattern Recognition (ICPR2012)","","","","","","2012","2019-06-04 16:25:41","2019-06-04 16:25:41","","2266–2269","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LM9R2JQC","journalArticle","2012","Pawlowski, Roger P; Phipps, Eric T; Salinger, Andrew G","Automating embedded analysis capabilities and managing software complexity in multiphysics simulation, Part I: Template-based generic programming","Scientific Programming","","","","","","2012","2019-06-04 16:25:42","2019-06-04 16:25:42","","197–219","","2","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJAC4YIY","journalArticle","2012","Bianco, Maryse; Pellenq, Catherine; Lambert, Eric; Bressoux, Pascal; Lima, Laurent; Doyen, Anne-Lise","Impact of early code-skill and oral-comprehension training on reading achievement in first grade","Journal of research in reading","","","","","","2012","2019-06-04 16:25:42","2019-06-04 16:25:42","","427–455","","4","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU6IIVIJ","journalArticle","2017","Fittkau, Florian; Krause, Alexander; Hasselbring, Wilhelm","Software landscape and application visualization for system comprehension with ExplorViz","Information and software technology","","","","","","2017","2019-06-04 16:25:42","2019-06-04 16:25:42","","259–277","","","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7UJUPWB","journalArticle","2012","Notz, Patrick K; Pawlowski, Roger P; Sutherland, James C","Graph-based software design for managing complexity and enabling concurrency in multiphysics PDE software","ACM Transactions on Mathematical Software (TOMS)","","","","","","2012","2019-06-04 16:25:42","2019-06-04 16:25:42","","1","","1","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NA6TN4AI","journalArticle","2013","Sharma, Kshitij; Jermann, Patrick; Nüssli, Marc-Antoine; Dillenbourg, Pierre","Understanding collaborative program comprehension: Interlacing gaze and dialogues","Proceedings of Computer Supported Collaborative Learning (CSCL 2013)","","","","","","2013","2019-06-04 16:25:42","2019-06-04 16:25:42","","430–437","","CONF","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52HT9Y57","journalArticle","2010","McVicar, Tim R; Van Niel, Tom G; Li, LingTao; Wen, ZhongMing; Yang, QinKe; Li, Rui; Jiao, Feng","Parsimoniously modelling perennial vegetation suitability and identifying priority areas to support China's re-vegetation program in the Loess Plateau: Matching model complexity to data availability","Forest Ecology and Management","","","","","","2010","2019-06-04 16:25:42","2019-06-04 16:25:42","","1277–1290","","7","259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y497WNAA","journalArticle","2014","Açıkgöz, Atif; Günsel, Ayşe; Bayyurt, Nizamettin; Kuzey, Cemil","Team climate, team cognition, team intuition, and software quality: The moderating role of project complexity","Group Decision and Negotiation","","","","","","2014","2019-06-04 16:25:42","2019-06-04 16:25:42","","1145–1176","","5","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY8AB7NF","journalArticle","2015","Donnell, Wendy M","A correlational study of a reading comprehension program and attrition rates of ESL nursing students in Texas","Nursing education perspectives","","","","","","2015","2019-06-04 16:25:42","2019-06-04 16:25:42","","16–21","","1","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA4P8USG","journalArticle","2011","Nagatomi, Kouji; Kawai, Hiroyuki; Higuchi, Kenichi","Complexity-reduced MLD based on QR decomposition in OFDM MIMO multiplexing with frequency domain spreading and code multiplexing","EURASIP Journal on Advances in Signal Processing","","","","","","2011","2019-06-04 16:25:42","2019-06-04 16:25:42","","5","","","2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AF6VRMXS","journalArticle","2010","Ivanov, Yuri V; Bleakley, Chris J","Real-time h. 264 video encoding in software with fast mode decision and dynamic complexity control","ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)","","","","","","2010","2019-06-04 16:25:43","2019-06-04 16:25:43","","5","","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3AS9ILM","conferencePaper","2012","Katzmarski, Bernhard; Koschke, Rainer","Program complexity metrics and programmer opinions","2012 20th IEEE International Conference on Program Comprehension (ICPC)","","","","","","2012","2019-06-04 16:25:43","2019-06-04 16:25:43","","17–26","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24D9LXS2","journalArticle","2011","West, Dave; Gilpin, Mike; Grant, Tom; Anderson, Alissa","Water-scrum-fall is the reality of agile for most organizations today","Forrester Research","","","","","","2011","2019-06-04 16:25:43","2019-06-04 16:25:43","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASTT5W5G","journalArticle","2014","Khan, Zahoor","Scrumban-Adaptive Agile Development Process: Using scrumban to improve software development process","","","","","","","2014","2019-06-04 16:25:43","2019-06-04 16:25:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8R8H85K","conferencePaper","2010","Alias, Christophe; Darte, Alain; Feautrier, Paul; Gonnord, Laure","Multi-dimensional rankings, program termination, and complexity bounds of flowchart programs","International Static Analysis Symposium","","","","","","2010","2019-06-04 16:25:43","2019-06-04 16:25:43","","117–133","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKCU942R","journalArticle","2010","Shin, Yonghee; Meneely, Andrew; Williams, Laurie; Osborne, Jason A","Evaluating complexity, code churn, and developer activity metrics as indicators of software vulnerabilities","IEEE transactions on software engineering","","","","","","2010","2019-06-04 16:25:43","2019-06-04 16:25:43","","772–787","","6","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLYB4WUK","journalArticle","2012","Rando, Oliver J","Combinatorial complexity in chromatin structure and function: revisiting the histone code","Current opinion in genetics & development","","","","","","2012","2019-06-04 16:25:43","2019-06-04 16:25:43","","148–155","","2","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T533ZJW9","book","2013","Miller, R","Complexity of Computer Computations: Proceedings of a symposium on the Complexity of Computer Computations, held March 20 22, 1972, at the IBM Thomas J. Watson Research Center, Yorktown Heights, New York, and sponsored by the Office of Naval Research, Mathematics Program, IBM World Trade Corporation, and the IBM Research Mathematical Sciences Department","","","","","","","2013","2019-06-04 16:25:43","2019-06-04 16:25:43","","","","","","","","","","","","","Springer Science & Business Media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVE82BTY","conferencePaper","2011","Abbes, Marwen; Khomh, Foutse; Gueheneuc, Yann-Gael; Antoniol, Giuliano","An empirical study of the impact of two antipatterns, blob and spaghetti code, on program comprehension","2011 15th European Conference on Software Maintenance and Reengineering","","","","","","2011","2019-06-04 16:25:44","2019-06-04 16:25:44","","181–190","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7K8ZZPZ","journalArticle","2011","Kleven, Henrik Jacobsen; Kopczuk, Wojciech","Transfer program complexity and the take-up of social benefits","American Economic Journal: Economic Policy","","","","","","2011","2019-06-04 16:25:44","2019-06-04 16:25:44","","54–90","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC25BHZU","journalArticle","2017","Giesl, Jürgen; Aschermann, Cornelius; Brockschmidt, Marc; Emmes, Fabian; Frohn, Florian; Fuhs, Carsten; Hensel, Jera; Otto, Carsten; Plücker, Martin; Schneider-Kamp, Peter; others","Analyzing program termination and complexity automatically with AProVE","Journal of Automated Reasoning","","","","","","2017","2019-06-04 16:25:44","2019-06-04 16:25:44","","3–31","","1","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGPIMY6P","journalArticle","2012","Ciampa, Katia","ICANREAD: The effects of an online reading program on grade 1 students’ engagement and comprehension strategy use","Journal of Research on Technology in Education","","","","","","2012","2019-06-04 16:25:44","2019-06-04 16:25:44","","27–59","","1","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELCNPMQB","journalArticle","2014","Toropov, Andrey A; Toropova, Alla P; Raska Jr, Ivan; Leszczynska, Danuta; Leszczynski, Jerzy","Comprehension of drug toxicity: Software and databases","Computers in Biology and Medicine","","","","","","2014","2019-06-04 16:25:44","2019-06-04 16:25:44","","20–25","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7U4IIJS6","conferencePaper","2014","Le Roux, Marieanna C; Swartz, Leslie; Swart, Estelle","The effect of an animal-assisted reading program on the reading rate, accuracy and comprehension of grade 3 students: A randomized control study","Child & Youth Care Forum","","","","","","2014","2019-06-04 16:25:44","2019-06-04 16:25:44","","655–673","","","43","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY6YR6PI","journalArticle","2012","Kosar, Tomaž; Mernik, Marjan; Carver, Jeffrey C","Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments","Empirical software engineering","","","","","","2012","2019-06-04 16:25:44","2019-06-04 16:25:44","","276–304","","3","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S4P5Z7D4","journalArticle","2010","Spencer, Sally A; Manis, Franklin R","The effects of a fluency intervention program on the fluency and comprehension outcomes of Middle-School students with severe reading deficits","Learning Disabilities Research & Practice","","","","","","2010","2019-06-04 16:25:44","2019-06-04 16:25:44","","76–86","","2","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5YMH8W2","journalArticle","2010","Saynisch, Manfred","Beyond frontiers of traditional project management: An approach to evolutionary, self-organizational principles and the complexity theory—results of the research program","Project Management Journal","","","","","","2010","2019-06-04 16:25:45","2019-06-04 16:25:45","","21–37","","2","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4Q8D36J","conferencePaper","2013","Ponzanelli, Luca; Bacchelli, Alberto; Lanza, Michele","Leveraging crowd knowledge for software comprehension and development","2013 17th European Conference on Software Maintenance and Reengineering","","","","","","2013","2019-06-04 16:25:45","2019-06-04 16:25:45","","57–66","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTC5V325","conferencePaper","2011","Wnuk, Krzysztof; Regnell, Björn; Berenbach, Brian","Scaling up requirements engineering–exploring the challenges of increasing size and complexity in market-driven software development","International Working Conference on Requirements Engineering: Foundation for Software Quality","","","","","","2011","2019-06-04 16:25:45","2019-06-04 16:25:45","","54–59","","","","","","","","","","","Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AL8E3F9","journalArticle","2012","Apthorp, Helen; Randel, Bruce; Cherasaro, Trudy; Clark, Tedra; McKeown, Margaret; Beck, Isabel","Effects of a supplemental vocabulary program on word knowledge and passage comprehension","Journal of Research on Educational Effectiveness","","","","","","2012","2019-06-04 16:25:45","2019-06-04 16:25:45","","160–188","","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPB7BTVM","journalArticle","2010","Riegel, Barbara; Lee, Christopher S; Sochalski, Julie","Developing an instrument to measure heart failure disease management program intensity and complexity","Circulation: Cardiovascular Quality and Outcomes","","","","","","2010","2019-06-04 16:25:45","2019-06-04 16:25:45","","324–330","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKINNUAX","journalArticle","2010","Landsberg, Joseph M; Manivel, Laurent; Ressayre, Nicolas","Hypersurfaces with degenerate duals and the geometric complexity theory program","arXiv preprint arXiv:1004.4802","","","","","","2010","2019-06-04 16:25:45","2019-06-04 16:25:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSK4TXF7","journalArticle","2014","GALINDO, ANGELMIRO; MORENO, LINA","Bilingual education in the Modern Languages teaching program and argumentative reading comprehension","Cuadernos de Lingüística Hispánica","","","","","","2014","2019-06-04 16:25:45","2019-06-04 16:25:45","","171–190","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IBXWYFS","book","2017","Tysell Sundkvist, Leif; Persson, Emil","Code Styling and its Effects on Code Readability and Interpretation","","","","","","","2017","2019-06-04 16:25:45","2019-06-04 16:25:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGPCKWSA","journalArticle","","Merkelbach, Chris","Online Listening Comprehension Program By Chris Merkelbach and Janette Yuvienco","","","","","","","","2019-06-04 16:25:45","2019-06-04 16:25:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDVYWSWG","conferencePaper","2017","Batista, Elienai B; Sant'Anna, Cláudio; da Silva, Bruno C","Two quasi-experiments on cohesion metrics and program comprehension","Proceedings of the 11th Brazilian Symposium on Software Components, Architectures, and Reuse","","","","","","2017","2019-06-04 16:25:46","2019-06-04 16:25:46","","2","","","","","","","","","","","ACM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9IQIRPM","thesis","2016","Tabareau, Nicolas","Managing Logical and Computational Complexity using Program Transformations","","","","","","","2016","2019-06-04 16:25:46","2019-06-04 16:25:46","","","","","","","","","","","","","université de nantes","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
